iter	Accuracy	Logloss
902	0.8815	0.2917096252
903	0.881375	0.2916470642
904	0.881375	0.2915928955
905	0.881375	0.291567749
906	0.881625	0.2915376282
907	0.881625	0.2915076904
908	0.8815	0.2914517212
909	0.8815	0.2914267578
910	0.88175	0.2913070374
911	0.88175	0.2912927856
912	0.881875	0.2912806702
913	0.882125	0.2911660156
914	0.882	0.2911611023
915	0.882125	0.2911257935
916	0.8825	0.2909838867
917	0.8825	0.2909638672
918	0.8825	0.290963501
919	0.8825	0.2909569092
920	0.8825	0.2908149109
921	0.882375	0.2907602539
922	0.8825	0.2907181091
923	0.882375	0.2907114258
924	0.882375	0.2906974487
925	0.882375	0.2906737976
926	0.882625	0.2906392822
927	0.882625	0.2906096191
928	0.882625	0.2905980835
929	0.882625	0.2905236206
930	0.882625	0.2905201111
931	0.8825	0.290454071
932	0.8825	0.2904537964
933	0.8825	0.2904528198
934	0.8825	0.2903846436
935	0.8825	0.2903048706
936	0.88225	0.2902747803
937	0.882625	0.2902605286
938	0.88275	0.2902546082
939	0.882625	0.2902271729
940	0.88275	0.2901340332
941	0.882625	0.2901184387
942	0.88275	0.2900450134
943	0.88275	0.2900409241
944	0.88275	0.2900211182
945	0.88275	0.2900097656
946	0.882625	0.2899586182
947	0.882625	0.289898468
948	0.882625	0.2898869934
949	0.882625	0.2898792114
950	0.882625	0.2898571472
951	0.882625	0.2898134766
952	0.882625	0.2897995911
953	0.88275	0.2897836609
954	0.8825	0.2897615051
955	0.8825	0.289755127
956	0.882625	0.2897218628
957	0.882625	0.2896881714
958	0.882625	0.2896548462
959	0.8825	0.2895684204
960	0.8825	0.2895498657
961	0.8825	0.2895295715
962	0.882625	0.2895030518
963	0.88275	0.2894068298
964	0.88275	0.2893775024
965	0.883	0.2892764282
966	0.883125	0.2892390442
967	0.883	0.2891678772
968	0.883	0.2891401367
969	0.883	0.2891089783
970	0.883125	0.2891073608
971	0.883125	0.289089325
972	0.883125	0.2890289307
973	0.883125	0.2889551086
974	0.883	0.2889102478
975	0.883	0.2888461609
976	0.883125	0.2888275757
977	0.883125	0.2887968445
978	0.88325	0.2887562256
979	0.883125	0.2886279907
980	0.883	0.2886094971
